smiles,pec50,relation,value,ps_score,drc_score,overall_score,recommendation
CCNC(=O)N1C[C@@H](C2=CC=C(C(O)(C(F)(F)F)C(F)(F)F)C=C2)[C@@](C)(C2=CC=CC=C2)C1,5.75,,,0.6929176296156148,4.3493389966897665e-06,0.6929176296156148,ps
O=S(=O)(C1=CC=CC=C1)N(CC(F)(F)F)C1=CC=C(C(O)C(F)(F)F)C=C1,5.5,,,0.6902445285400189,5.288208558340557e-06,0.6902445285400189,ps
NC(C1=CC=C(C2(S(=O)(=O)C3=CC=C(F)C=C3)CCCC2)C=C1)(C(F)(F)F)C(F)(F)F,6.56,,,0.6898079576214744,5.34728642378468e-06,0.6898079576214744,ps
CCOC(=O)N1C[C@@H](C2=CC=C(C(O)(C(F)(F)F)C(F)(F)F)C=C2)[C@@](C)(C2=CC=CC=C2)C1,6.22,,,0.6882428842979649,5.536899334401824e-06,0.6882428842979649,ps
COCC1=C(C(=O)O)N2C(=O)C(=NC(=O)C(NOC)C3=CSC(N)=N3)[C@H]2SC1,4.96,,,0.6820370254853805,3.3638629247434436e-06,0.6820370254853805,ps
C[C@]1(C2=CC=C(F)C=C2)CN(C(=O)C2CCN(S(C)(=O)=O)CC2)C[C@H]1C1=CC=C(C(O)(C(F)(F)F)C(F)(F)F)C=C1,6.82,,,0.6790961344230264,6.363126158248633e-06,0.6790961344230264,ps
CS(=O)(=O)C1=CC=C(F)C=C1C(=O)N1CCC(N(C2CC2)S(=O)(=O)C2=CC=CC(C(F)(F)F)=C2)CC1,6.37,,,0.6761687467330824,6.583607319043949e-06,0.6761687467330824,ps
CC1(C)O[C@@H]2C[C@H]3[C@@H]4CC=C5CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,4.64,,,0.6743906016333479,6.712136382702738e-06,0.6743906016333479,ps
O=C(C1CCCCC1)N(CC12CCC(C3=NC(C4CC4)=NO3)(CC1)CC2)C1=CC=CC(C2=NC(C3CC3)=NO2)=C1,5.22,,,0.6731609231269038,6.799073162255809e-06,0.6731609231269038,ps
CC(C)=CCC[C@]1(C)[C@@H](CC=C(C)C)C[C@]2(CC=C(C)C)C(=O)C(CC=C(C)C)C(=O)[C@@]1(C(=O)C(C)C)C2=O,7.57,,,0.6726777580762053,6.832838698755949e-06,0.6726777580762053,ps
NC(=O)C1=CC=C(C(=O)N2CCC(N(C3CC3)S(=O)(=O)C3=CC=CC(C(F)(F)F)=C3)CC2)C(C(F)(F)F)=C1,5.72,,,0.6670608172340173,7.212216587504372e-06,0.6670608172340173,ps
ClC1=CC=CC=C1C(C1=CC=CC=C1)(C1=CC=CC=C1)N1C=CN=C1,5.57,,,0.6668962389791411,7.223022839752957e-06,0.6668962389791411,ps
CC(C)(C)C1=CC=C(S(=O)(=O)N2CC3=CC=C(C(F)(F)F)N=C3NC3=CC=CC(C4=NOC=N4)=C32)C=C1,4.93,,,0.6654741065651957,2.8171116355224513e-06,0.6654741065651957,ps
