iteration,n_labeled,n_confirmed_actives,total_cost,actives_per_dollar,recall,enrichment_factor_10pct,n_drc_queries,n_ps_queries,n_ps_to_drc_upgrades,model_mae
0.0,1536.0,0.0,1536.0,0.0,0.0,0.0,0.0,1536.0,0.0,1.3761711120605469
1.0,2890.0,3.0,3025.0,0.0009917355371900827,0.04477611940298507,0.0,15.0,2875.0,0.0,0.7051697969436646
2.0,3258.0,18.0,4266.0,0.004219409282700422,0.26865671641791045,0.0,112.0,3146.0,72.0,0.6743945479393005
3.0,3669.0,21.0,5514.0,0.003808487486398259,0.31343283582089554,0.0,205.0,3464.0,163.0,0.6455833911895752
4.0,3811.0,32.0,6700.0,0.004776119402985075,0.47761194029850745,0.0,321.0,3490.0,279.0,0.5773496031761169
5.0,3973.0,39.0,7888.0,0.00494421906693712,0.582089552238806,0.0,435.0,3538.0,393.0,0.5727484226226807
6.0,4141.0,44.0,9073.0,0.004849553620632646,0.6567164179104478,0.0,548.0,3593.0,506.0,0.6672394871711731
7.0,4375.0,52.0,10279.0,0.005058857865551124,0.7761194029850746,0.0,656.0,3719.0,614.0,0.718375027179718
8.0,4624.0,55.0,11491.0,0.004786354538334349,0.8208955223880597,0.0,763.0,3861.0,721.0,0.9026716351509094
9.0,4871.0,56.0,12701.0,0.004409101645539721,0.835820895522388,0.0,870.0,4001.0,828.0,0.6052212715148926
10.0,4991.0,57.0,13874.0,0.004108404209312383,0.8507462686567164,0.0,987.0,4004.0,945.0,0.6026319265365601
11.0,5109.0,63.0,15054.0,0.004184934236747709,0.9402985074626866,0.0,1105.0,4004.0,1063.0,0.6135072112083435
12.0,5230.0,65.0,16228.0,0.004005422726152329,0.9701492537313433,0.0,1222.0,4008.0,1180.0,0.6437695622444153
13.0,5431.0,67.0,17428.0,0.0038443883406013312,1.0,0.0,1333.0,4098.0,1291.0,0.6059802174568176
14.0,5443.0,67.0,17548.0,0.003818098928652838,1.0,0.0,1345.0,4098.0,1303.0,0.520772397518158
